blandish,"['allure', 'beguile', 'cajole', 'caress', 'charm', 'coax', 'entice', 'urge', 'wheedle']"
complete,"['entire', 'exhaustive', 'full', 'outright', 'thorough', 'gross', 'integrated', 'replete', 'undocked', 'all', 'faultless', 'full dress', 'imperforate', 'intact', 'integral', 'lock stock and barrel', 'organic', 'plenary', 'the works', 'thoroughgoing', 'unabbreviated', 'unabridged', 'unbroken', 'uncondensed', 'uncut', 'undiminished', 'undivided', 'unexpurgated', 'unimpaired', 'unitary', 'unreduced', 'whole', 'whole enchilada', 'whole nine yards', 'whole-hog', 'whole-length']"
slab,"['hunk', 'ingot', 'lump', 'piece', 'plate', 'rod', 'slice', 'stone', 'strip', 'wedge', 'bar', 'billet', 'bit', 'board', 'boulder', 'chip', 'cut', 'cutting', 'muck', 'portion', 'stave', 'stick']"
tong,"['forceps', 'pliers']"
ah,"['ahem', 'alas', 'amen', 'boo', 'er', 'exclamation', 'hello', 'hooray', 'hurrah', 'oh', 'shucks', 'whoopee', 'wow', 'egad', 'golly', 'hey', 'huh', 'jeepers', 'oops', 'ouch', 'phew', 'phooey', 'pooh', 'psst', 'rah', 'ugh', 'um']"
her,"['him', 'hir', 'it', 'me', 'them', 'ver', 'xem', 'you', 'zir']"
